NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN

Site ID: CA45 Date Range: 1/1/1979 to 10/1/2017 Report Date: 7/30/2017 2:32:58 PM
"SiteID","Date On","Date Off","ldCa","Ca","ldMg","Mg","ldK","K","ldNa","Na","ldNH4","NH4","ldNO3","NO3","ldCl","Cl","ldSO4","SO4","pH Lab","pH Field","pH FV","Lab Cond","Field Cond","FV Cond","Svol","RG Ppt","Sub Ppt","Lab Type","Valcode","Invalcode","Notes"
"CA45","03/03/1981","03/10/1981"," ",0.060," ",0.012," ",0.006," ",0.058," ",0.070," ",0.180," ",0.190," ",0.310,5.67,5.40,"i",6.7,3.2,"i",1201.3,18.03,18.030,"w ","w ","            ",""
"CA45","03/10/1981","03/17/1981"," ",0.190," ",0.048," ",0.006," ",0.120," ",0.120," ",0.410," ",0.210," ",0.400,6.06,5.70,"i",7.4,5.0,"i",1078.0,15.75,15.750,"w ","w ","            ",""
"CA45","03/17/1981","03/24/1981"," ",0.020," ",0.022," ",0.008," ",0.161," ",0.080," ",0.790," ",0.310," ",0.420,5.05,4.60,"i",14.0,7.6,"i",1406.6,22.86,22.860,"w ","w ","            ",""
"CA45","03/24/1981","03/31/1981"," ",0.040," ",0.072," ",0.032," ",0.576," ",0.050," ",0.260," ",1.000," ",0.360,5.45,5.10,"i",10.1,9.4,"i",1606.5,24.13,24.130,"w ","w ","            ",""
"CA45","03/31/1981","04/07/1981"," ",0.100," ",0.202," ",0.069," ",0.118," ",0.180," ",0.220," ",0.440," ",0.710,6.64,-9.00,"-",9.8,-9.0,"-",76.6,1.78,1.780,"w ","w ","            ",""
"CA45","04/07/1981","04/14/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","04/14/1981","04/21/1981"," ",0.140," ",0.032," ",0.015," ",0.116," ",0.130," ",0.960," ",0.140," ",0.580,5.05,4.60,"i",10.2,8.9,"i",1184.5,19.30,19.300,"w ","w ","            ",""
"CA45","04/21/1981","04/28/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","04/28/1981","05/05/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","05/05/1981","05/12/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",-9.0,0.00,0.000,"qa","d ","            ","na"
"CA45","05/12/1981","05/19/1981"," ",0.160," ",0.032," ",0.011," ",0.061,"<",0.010," ",0.410," ",0.130," ",0.540,5.25,4.90,"i",7.5,5.8,"i",667.6,10.16,10.160,"w ","w ","            ",""
"CA45","05/19/1981","05/26/1981"," ",0.240," ",0.032," ",0.009," ",0.085,"<",0.010,"<",0.020," ",0.150," ",0.310,6.09,5.30,"i",5.1,2.1,"i",408.1,5.08,5.080,"w ","w ","            ",""
"CA45","05/26/1981","06/02/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","06/02/1981","06/09/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","06/09/1981","06/16/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","06/16/1981","06/23/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","06/23/1981","06/30/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","06/30/1981","07/07/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",108.1,1.78,1.780,"t ","  ","v           ",""
"CA45","07/07/1981","07/14/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","07/14/1981","07/21/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","07/21/1981","07/28/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","07/28/1981","08/04/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","08/04/1981","08/11/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","08/11/1981","08/18/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","08/18/1981","08/25/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
