NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN

Site ID: CA45 Date Range: 1/1/1979 to 10/1/2017 Report Date: 7/30/2017 2:32:58 PM
"SiteID","Date On","Date Off","ldCa","Ca","ldMg","Mg","ldK","K","ldNa","Na","ldNH4","NH4","ldNO3","NO3","ldCl","Cl","ldSO4","SO4","pH Lab","pH Field","pH FV","Lab Cond","Field Cond","FV Cond","Svol","RG Ppt","Sub Ppt","Lab Type","Valcode","Invalcode","Notes"
"CA45","04/18/2000","04/25/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","04/25/2000","05/02/2000","<",0.050,"<",0.017,"<",0.017," ",0.035,"<",0.120," ",0.120," ",0.110," ",0.120,5.73,-9.00,"-",2.2,-9.0,"-",20.1,0.25,0.254,"wa","wa","            ",""
"CA45","05/02/2000","05/09/2000"," ",0.067," ",0.015," ",0.007," ",0.083," ",0.057," ",0.484," ",0.149," ",0.203,5.29,5.10,"p",5.0,5.3,"p",499.2,8.89,8.890,"w ","w ","            ",""
"CA45","05/09/2000","05/16/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"f",-9.0,-9.0,"f",1300.4,18.29,18.288,"w ","  ","c           ","ns"
"CA45","05/16/2000","05/23/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","05/23/2000","05/30/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","05/30/2000","06/06/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","06/06/2000","06/13/2000"," ",0.024," ",0.004,"<",0.003," ",0.010,"<",0.020," ",0.136," ",0.028," ",0.100,5.31,5.15,"p",2.7,2.8,"p",791.4,12.19,12.192,"w ","w ","            ",""
"CA45","06/13/2000","06/20/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","06/20/2000","06/27/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","06/27/2000","07/03/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","07/03/2000","07/11/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","07/11/2000","07/18/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","07/18/2000","07/25/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","07/25/2000","08/01/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","08/01/2000","08/08/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","08/08/2000","08/15/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","08/15/2000","08/22/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","08/22/2000","08/29/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","08/29/2000","09/05/2000"," ",0.031," ",0.010," ",0.011," ",0.070," ",0.177," ",0.806," ",0.117," ",0.482,4.94,5.10,"p",7.8,8.3,"p",826.6,12.45,12.446,"w ","w ","            ",""
"CA45","09/05/2000","09/12/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","09/12/2000","09/19/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,-7.00,0.127,"d ","t ","            ",""
"CA45","09/19/2000","09/26/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","09/26/2000","10/03/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","10/03/2000","10/10/2000"," ",0.098," ",0.049," ",0.021," ",0.368,"<",0.020," ",0.233," ",0.643," ",0.565,5.18,5.00,"p",7.1,8.4,"p",216.7,3.30,3.302,"w ","w ","            ",""
"CA45","10/10/2000","10/17/2000"," ",0.161," ",0.012," ",0.016," ",0.079,"<",0.020," ",0.266," ",0.123," ",0.440,5.21,5.10,"p",5.0,5.1,"p",515.1,7.62,7.620,"w ","w ","            ",""
"CA45","10/17/2000","10/24/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",16.2,0.51,0.508,"t ","  ","v           ",""
"CA45","10/24/2000","10/31/2000"," ",0.037," ",0.063," ",0.034," ",0.586," ",0.025," ",0.124," ",1.053," ",0.244,5.43,5.20,"p",6.5,7.2,"p",4398.2,65.79,65.786,"w ","w ","            ",""
"CA45","10/31/2000","11/07/2000"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.1,0.00,0.000,"t ","d ","            ",""
"CA45","11/07/2000","11/14/2000"," ",0.026," ",0.021," ",0.016," ",0.214," ",0.044," ",0.385," ",0.358," ",0.347,5.05,4.80,"p",6.4,9.0,"p",404.0,6.10,6.096,"w ","w ","            ",""
"CA45","11/14/2000","11/21/2000"," ",0.054," ",0.009," ",0.009," ",0.049," ",0.109," ",0.309," ",0.095," ",0.167,5.53,5.30,"p",3.2,4.1,"p",323.5,5.08,5.080,"w ","w ","            ",""
"CA45","11/21/2000","11/28/2000"," ",0.150," ",0.026,"<",0.016," ",0.129," ",0.130," ",1.160," ",0.270," ",0.400,5.11,-9.00,"-",9.0,-9.0,"-",23.4,0.25,0.254,"wa","wa","            ",""
"CA45","11/28/2000","12/05/2000"," ",0.019," ",0.024," ",0.020," ",0.233,"<",0.020," ",0.190," ",0.397," ",0.281,5.15,5.15,"p",5.4,6.4,"p",1441.0,21.59,21.590,"w ","w ","            ",""
"CA45","12/05/2000","12/12/2000"," ",0.012,"<",0.003," ",0.005," ",0.021," ",0.074," ",0.223," ",0.048," ",0.087,5.45,5.20,"p",2.6,3.4,"p",554.2,8.13,8.128,"w ","w ","            ",""
"CA45","12/12/2000","12/19/2000"," ",0.049," ",0.073," ",0.033," ",0.797," ",0.030," ",0.234," ",1.380," ",0.473,5.10,4.95,"p",9.8,10.9,"p",903.4,15.49,15.494,"w ","w ","            ",""
"CA45","12/19/2000","12/27/2000"," ",0.200," ",0.520," ",0.235," ",6.380," ",0.050," ",0.430," ",9.140," ",1.640,5.08,5.00,"p",41.7,38.0,"p",223.4,3.30,3.302,"w ","w ","            ",""
"CA45","12/27/2000","01/02/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.1,0.00,0.000,"t ","d ","            ",""
"CA45","01/02/2001","01/09/2001"," ",0.030," ",0.037," ",0.019," ",0.386," ",0.140," ",0.710," ",0.640," ",0.250,5.21,5.10,"p",7.6,7.7,"p",890.7,13.46,13.462,"w ","w ","            ",""
"CA45","01/09/2001","01/16/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"f",-9.0,-9.0,"f",3972.9,58.42,58.420,"w ","  ","c           ","ns"
"CA45","01/16/2001","01/23/2001"," ",0.070," ",0.035," ",0.018," ",0.385," ",0.360," ",1.060," ",0.700," ",0.490,5.37,-9.00,"-",9.2,-9.0,"-",35.5,0.51,0.508,"wa","wa","            ",""
"CA45","01/23/2001","01/30/2001"," ",0.020," ",0.025," ",0.010," ",0.252," ",0.040," ",0.140," ",0.440," ",0.160,5.39,5.25,"p",4.4,4.5,"p",5030.9,76.96,76.962,"w ","w ","            ",""
"CA45","01/30/2001","02/06/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.1,0.00,0.000,"t ","d ","            ",""
"CA45","02/06/2001","02/13/2001"," ",0.030," ",0.046," ",0.017," ",0.393,"<",0.020," ",0.070," ",0.700," ",0.150,5.43,5.20,"p",5.0,5.4,"p",4909.8,-9.00,72.319,"w ","w ","            ",""
"CA45","02/13/2001","02/20/2001"," ",0.030," ",0.042," ",0.019," ",0.385," ",0.030," ",0.200," ",0.710," ",0.220,5.34,5.15,"p",5.7,6.4,"p",3668.7,56.64,56.642,"w ","w ","            ",""
"CA45","02/20/2001","02/27/2001"," ",0.040," ",0.061," ",0.022," ",0.571," ",0.030," ",0.120," ",1.020," ",0.250,5.39,5.25,"p",7.1,6.7,"p",5227.7,80.52,80.518,"w ","w ","            ",""
"CA45","02/27/2001","03/06/2001"," ",0.010," ",0.011," ",0.013," ",0.100," ",0.040," ",0.200," ",0.160," ",0.140,5.34,5.15,"p",3.3,3.9,"p",4611.2,68.58,68.580,"w ","w ","            ",""
"CA45","03/06/2001","03/13/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.1,0.00,0.000,"t ","d ","            ",""
"CA45","03/13/2001","03/20/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","03/20/2001","03/27/2001"," ",0.070," ",0.038," ",0.028," ",0.295," ",0.060," ",0.240," ",0.540," ",0.360,5.27,5.05,"p",5.8,7.4,"p",730.8,-9.00,10.764,"w ","w ","            ",""
"CA45","03/27/2001","04/03/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.1,-9.00,0.001,"t ","t ","            ",""
"CA45","04/03/2001","04/10/2001"," ",0.070," ",0.047," ",0.032," ",0.444," ",0.070," ",0.250," ",0.730," ",0.570,5.10,5.05,"p",7.8,8.9,"p",544.4,9.14,9.144,"w ","w ","            ",""
"CA45","04/10/2001","04/16/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,-7.00,0.127,"d ","t ","            ",""
"CA45","04/16/2001","04/24/2001"," ",0.150," ",0.033," ",0.022," ",0.161," ",0.050," ",0.240," ",0.250," ",0.360,5.63,5.25,"p",3.9,4.5,"p",1174.4,17.78,17.780,"w ","w ","            ",""
"CA45","04/24/2001","05/01/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","05/01/2001","05/08/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","05/08/2001","05/15/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","05/15/2001","05/22/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","05/22/2001","05/29/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","05/29/2001","06/05/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","06/05/2001","06/12/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","06/12/2001","06/19/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","06/19/2001","06/26/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,-7.00,0.127,"d ","t ","            ",""
"CA45","06/26/2001","07/03/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","07/03/2001","07/10/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","07/10/2001","07/17/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","07/17/2001","07/24/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","07/24/2001","07/31/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","07/31/2001","08/07/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","08/07/2001","08/14/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","08/14/2001","08/21/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","08/21/2001","08/28/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","08/28/2001","09/04/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","09/04/2001","09/11/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","09/11/2001","09/18/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","09/18/2001","09/25/2001"," ",0.130," ",0.017," ",0.021," ",0.054," ",0.300," ",1.310," ",0.170," ",1.320,4.63,4.43,"p",14.9,20.5,"p",228.1,3.81,3.810,"w ","w ","            ",""
"CA45","09/25/2001","10/02/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","10/02/2001","10/09/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","10/09/2001","10/16/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","10/16/2001","10/23/2001"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","10/23/2001","10/30/2001"," ",0.030," ",0.011," ",0.017," ",0.093," ",0.050," ",0.410," ",0.170," ",0.160,5.15,5.10,"p",4.4,5.3,"p",1454.6,21.59,21.590,"w ","w ","            ",""
"CA45","10/30/2001","11/06/2001"," ",0.030," ",0.015," ",0.007," ",0.142," ",0.040," ",0.260," ",0.270," ",0.180,5.25,5.20,"p",4.5,5.1,"p",210.5,-9.00,3.100,"w ","w ","            ",""
"CA45","11/06/2001","11/13/2001"," ",0.010," ",0.004," ",0.010," ",0.046," ",0.060," ",0.230," ",0.080," ",0.100,5.50,5.25,"p",2.8,3.4,"p",4519.3,69.85,69.850,"w ","w ","            ",""
"CA45","11/13/2001","11/20/2001"," ",0.030," ",0.028," ",0.017," ",0.256," ",0.210," ",0.870," ",0.430," ",0.340,5.11,5.05,"p",7.5,7.9,"p",1309.2,20.32,20.320,"w ","w ","            ",""
"CA45","11/20/2001","11/27/2001"," ",0.030," ",0.047," ",0.017," ",0.450,"<",0.020," ",0.140," ",0.790," ",0.180,5.43,5.15,"p",5.5,6.3,"p",4765.1,73.15,73.152,"w ","w ","            ",""
"CA45","11/27/2001","12/04/2001"," ",0.050," ",0.109," ",0.041," ",1.120,"<",0.020," ",0.130," ",1.970," ",0.350,5.27,5.10,"p",10.1,11.2,"p",7952.7,119.38,119.380,"w ","w ","            ",""
"CA45","12/04/2001","12/11/2001"," ",0.030," ",0.017," ",0.008," ",0.177," ",0.020," ",0.160," ",0.300," ",0.180,5.28,5.15,"p",4.1,4.4,"p",1401.7,22.61,22.606,"w ","w ","            ",""
"CA45","12/11/2001","12/18/2001","<",0.010," ",0.004,"<",0.003," ",0.052,"<",0.020," ",0.140," ",0.100," ",0.060,5.33,5.25,"p",3.3,3.1,"p",3276.2,50.55,50.546,"w ","w ","            ",""
"CA45","12/18/2001","12/26/2001"," ",0.040," ",0.084," ",0.032," ",0.787," ",0.070," ",0.340," ",1.440," ",0.300,5.33,5.10,"p",8.7,9.0,"p",3102.8,48.01,48.006,"w ","w ","            ",""
"CA45","12/26/2001","01/02/2002","<",0.010," ",0.003,"<",0.003," ",0.040," ",0.030," ",0.160," ",0.080," ",0.070,5.42,5.20,"p",3.1,2.6,"p",6130.0,93.98,93.980,"w ","w ","            ",""
"CA45","01/02/2002","01/08/2002","<",0.010," ",0.003,"<",0.003," ",0.031," ",0.030," ",0.200," ",0.060," ",0.060,5.30,5.10,"p",3.2,4.0,"p",1981.0,32.26,32.258,"w ","w ","            ",""
"CA45","01/08/2002","01/15/2002"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",12.3,1.27,1.270,"t ","  ","v           ",""
"CA45","01/15/2002","01/22/2002"," ",0.050," ",0.101," ",0.043," ",0.903," ",0.230," ",0.140," ",1.740," ",0.550,5.82,5.40,"p",9.6,10.7,"p",270.2,4.57,4.572,"w ","w ","            ",""
"CA45","01/22/2002","01/29/2002","<",0.010," ",0.003,"<",0.003," ",0.032," ",0.100," ",0.360," ",0.070," ",0.080,5.26,5.25,"p",3.9,4.0,"p",760.8,11.43,11.430,"w ","w ","            ",""
"CA45","01/29/2002","02/05/2002"," ",0.030," ",0.016,"<",0.009," ",0.107," ",0.410," ",1.060," ",0.170," ",0.190,5.74,-9.00,"-",5.3,-9.0,"-",50.6,1.02,1.016,"wa","wa","            ",""
"CA45","02/05/2002","02/12/2002"," ",0.020," ",0.008," ",0.004," ",0.071," ",0.040," ",0.080," ",0.110," ",0.090,5.55,5.40,"p",2.5,2.7,"p",668.1,10.16,10.160,"w ","w ","            ",""
"CA45","02/12/2002","02/19/2002","<",0.010," ",0.005," ",0.005," ",0.046," ",0.090," ",0.300," ",0.070," ",0.120,5.40,5.20,"i",3.4,-9.0,"-",1122.4,17.27,17.272,"w ","w ","            ",""
"CA45","02/19/2002","02/26/2002"," ",0.010," ",0.006," ",0.005," ",0.047," ",0.060," ",0.130," ",0.090," ",0.060,5.29,5.25,"p",3.3,2.9,"p",669.0,11.68,11.684,"w ","w ","            ",""
"CA45","02/26/2002","03/05/2002"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.1,0.00,0.000,"t ","d ","            ",""
"CA45","03/05/2002","03/12/2002"," ",0.040," ",0.025," ",0.026," ",0.234," ",0.060," ",0.250," ",0.380," ",0.190,5.44,5.20,"p",4.4,5.0,"p",1453.3,23.62,23.622,"w ","w ","            ",""
"CA45","03/12/2002","03/19/2002"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"f",-9.0,-9.0,"f",426.3,-9.00,6.279,"w ","  ","c           ","ns"
"CA45","03/19/2002","03/26/2002"," ",0.020," ",0.022," ",0.011," ",0.237," ",0.030," ",0.140," ",0.420," ",0.170,5.37,5.15,"p",4.6,5.2,"p",1308.3,20.32,20.320,"w ","w ","            ",""
"CA45","03/26/2002","04/02/2002"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.1,0.00,0.000,"t ","d ","            ",""
"CA45","04/02/2002","04/09/2002"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",2.0,-7.00,0.127,"t ","t ","            ",""
"CA45","04/09/2002","04/16/2002"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.1,0.00,0.000,"t ","d ","            ",""
"CA45","04/16/2002","04/23/2002"," ",0.110," ",0.044," ",0.031," ",0.320," ",0.030," ",0.200," ",0.570," ",0.290,5.53,5.30,"p",5.1,5.3,"p",728.6,10.41,10.414,"w ","w ","            ",""
"CA45","04/23/2002","04/30/2002"," ",0.100," ",0.080," ",0.035," ",0.671," ",0.300," ",0.970," ",0.990," ",0.850,5.25,4.90,"p",10.8,14.4,"p",336.3,5.59,5.588,"w ","w ","            ",""
"CA45","04/30/2002","05/07/2002"," ",0.160," ",0.033," ",0.009," ",0.154," ",0.120," ",0.290," ",0.260," ",0.210,5.67,5.15,"p",4.7,5.8,"p",134.6,2.03,2.032,"w ","w ","            ",""
"CA45","05/07/2002","05/14/2002"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",-9.0,0.00,0.000,"q ","d ","            ",""
"CA45","05/14/2002","05/21/2002"," ",0.050," ",0.105," ",0.039," ",0.979," ",0.030," ",0.170," ",1.660," ",0.480,5.16,5.05,"p",10.3,11.5,"p",1303.8,20.07,20.066,"w ","w ","            ",""
"CA45","05/21/2002","05/28/2002"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",5.2,-7.00,0.127,"t ","t ","            ",""
"CA45","05/28/2002","06/04/2002"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","06/04/2002","06/11/2002"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
"CA45","06/11/2002","06/18/2002"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"d ","d ","            ",""
